participant_id,random_id,trial_index,trial_number,time_elapsed,condition,category,level,selection_array,selection_index,rt_array,selection_type_array,final_choice_array,final_rt,index,test_choice,choice_type,choice_category,choice_match_category,choice_type_training_consistent
Beaver,p0dl5tzjk4h,8,3,76578,1-item,vehicles,one-subordinate,"[""stimuli/c2_sub4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub5.jpg""]","[4,13,6,19]","[3784,6418,7216,9505]","[""select"",""select"",""select"",""select""]","[""stimuli/c2_sub4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub5.jpg""]",11455,4,stimuli/c2_sub5.jpg,subordinate,vehicles,1,1
Beaver,p0dl5tzjk4h,9,4,92753,3-item,vegetables,superordinate,"[""stimuli/c1_sup3.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sup5.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_sup4.jpg""]","[1,0,4,11,9,15,22,18]","[7635,8391,9499,10170,11064,12397,13662,14780]","[""select"",""select"",""select"",""select"",""select"",""select"",""select"",""select""]","[""stimuli/c1_sup3.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sup5.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_sup4.jpg""]",16168,1,stimuli/c1_sup3.jpg,superordinate,vegetables,1,1
Beaver,p0dl5tzjk4h,9,4,92753,3-item,vegetables,superordinate,"[""stimuli/c1_sup3.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sup5.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_sup4.jpg""]","[1,0,4,11,9,15,22,18]","[7635,8391,9499,10170,11064,12397,13662,14780]","[""select"",""select"",""select"",""select"",""select"",""select"",""select"",""select""]","[""stimuli/c1_sup3.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sup5.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_sup4.jpg""]",16168,2,stimuli/c1_bas3.jpg,basic,vegetables,1,1
Beaver,p0dl5tzjk4h,9,4,92753,3-item,vegetables,superordinate,"[""stimuli/c1_sup3.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sup5.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_sup4.jpg""]","[1,0,4,11,9,15,22,18]","[7635,8391,9499,10170,11064,12397,13662,14780]","[""select"",""select"",""select"",""select"",""select"",""select"",""select"",""select""]","[""stimuli/c1_sup3.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sup5.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_sup4.jpg""]",16168,3,stimuli/c1_bas4.jpg,basic,vegetables,1,1
Beaver,p0dl5tzjk4h,9,4,92753,3-item,vegetables,superordinate,"[""stimuli/c1_sup3.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sup5.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_sup4.jpg""]","[1,0,4,11,9,15,22,18]","[7635,8391,9499,10170,11064,12397,13662,14780]","[""select"",""select"",""select"",""select"",""select"",""select"",""select"",""select""]","[""stimuli/c1_sup3.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sup5.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_sup4.jpg""]",16168,4,stimuli/c1_sub5.jpg,subordinate,vegetables,1,1
Beaver,p0dl5tzjk4h,9,4,92753,3-item,vegetables,superordinate,"[""stimuli/c1_sup3.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sup5.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_sup4.jpg""]","[1,0,4,11,9,15,22,18]","[7635,8391,9499,10170,11064,12397,13662,14780]","[""select"",""select"",""select"",""select"",""select"",""select"",""select"",""select""]","[""stimuli/c1_sup3.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sup5.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_sup4.jpg""]",16168,5,stimuli/c1_sub4.jpg,subordinate,vegetables,1,1
Beaver,p0dl5tzjk4h,9,4,92753,3-item,vegetables,superordinate,"[""stimuli/c1_sup3.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sup5.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_sup4.jpg""]","[1,0,4,11,9,15,22,18]","[7635,8391,9499,10170,11064,12397,13662,14780]","[""select"",""select"",""select"",""select"",""select"",""select"",""select"",""select""]","[""stimuli/c1_sup3.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sup5.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_sup4.jpg""]",16168,6,stimuli/c1_sup5.jpg,superordinate,vegetables,1,1
Beaver,p0dl5tzjk4h,9,4,92753,3-item,vegetables,superordinate,"[""stimuli/c1_sup3.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sup5.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_sup4.jpg""]","[1,0,4,11,9,15,22,18]","[7635,8391,9499,10170,11064,12397,13662,14780]","[""select"",""select"",""select"",""select"",""select"",""select"",""select"",""select""]","[""stimuli/c1_sup3.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sup5.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_sup4.jpg""]",16168,7,stimuli/c1_sup6.jpg,superordinate,vegetables,1,1
Beaver,p0dl5tzjk4h,9,4,92753,3-item,vegetables,superordinate,"[""stimuli/c1_sup3.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sup5.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_sup4.jpg""]","[1,0,4,11,9,15,22,18]","[7635,8391,9499,10170,11064,12397,13662,14780]","[""select"",""select"",""select"",""select"",""select"",""select"",""select"",""select""]","[""stimuli/c1_sup3.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg"",""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_sup5.jpg"",""stimuli/c1_sup6.jpg"",""stimuli/c1_sup4.jpg""]",16168,8,stimuli/c1_sup4.jpg,superordinate,vegetables,1,1
Beaver,p0dl5tzjk4h,10,5,106678,3-item,vehicles,subordinate,"[""stimuli/c2_sub4.jpg"",""stimuli/c2_sub5.jpg""]","[5,9]","[6939,8868]","[""select"",""select""]","[""stimuli/c2_sub4.jpg"",""stimuli/c2_sub5.jpg""]",13918,1,stimuli/c2_sub4.jpg,subordinate,vehicles,1,1
